OAMmode,-10,Standard deviation,-9,Standard deviation,-8,Standard deviation,-7,Standard deviation,-6,Standard deviation,-5,Standard deviation,-4,Standard deviation,-3,Standard deviation,-2,Standard deviation,-1,Standard deviation,0,Standard deviation,1,Standard deviation,2,Standard deviation,3,Standard deviation,4,Standard deviation,5,Standard deviation,6,Standard deviation,7,Standard deviation,8,Standard deviation,9,Standard deviation,10,Standard deviation
0,0.0485428550746292,0.00288719513994881,0.0456802963744849,0.00185612233328557,0.0453988783992827,0.0020346874819193,0.0442417846061289,0.00206994649725093,0.0418899583164603,0.00210234775306651,0.0355969457887113,0.00218451132012898,0.0369834823068231,0.0019317171954772,0.0368692732881755,0.00200716953466787,0.0334258135408163,0.00282748884502331,0.012259618495591,0.00325061324815209,0.98144369572401,0.00249783904859518,0.0310829675290734,0.00727320669156176,0.0329986037686467,0.00261492600506871,0.0329172831261531,0.00249516794960746,0.0320312546100467,0.00132005703047906,0.0316573532763869,0.00173021326753846,0.0370638275053352,0.00200314125933704,0.0384318658616394,0.00206647719418577,0.0408179031219333,0.00306128833157782,0.0385326815303415,0.00251887803508281,0.0411029728129506,0.00231859744128284
1,7.9950625689662e-05,8.37972791369108e-05,4.77664029858715e-05,6.0363258063405e-05,8.59886286193046e-05,8.02546864702436e-05,7.31041331221149e-05,4.98819181005423e-05,6.74422227291416e-05,6.19550944447235e-05,4.65842164967256e-05,4.35240254964974e-05,0.000191551962075209,0.000135352836170593,0.000256327855822747,0.000107457082618841,0.000103423871678388,8.55324985226268e-05,0.00126110915698519,0.00065984285550041,0.0113257100456394,0.00203686057367681,0.931786239147186,0.0128009556499107,0.0014440221757468,0.00158742600081895,0.000939959172683302,0.000279445718407792,0.000297682513519248,7.80150415375014e-05,0.000122600624536062,7.97589590929424e-05,4.43521775963518e-05,5.58696249783361e-05,0.000272799462891271,0.000145536632641547,0.000278867014458228,0.000118306893121316,0.000240280840102969,0.000189433737770231,0.000129431466802998,0.0001020381978515
2,9.38703987749534e-05,7.17504820326407e-05,6.24981469741215e-05,5.67152030905293e-05,4.1546388082736e-05,3.17709539703731e-05,5.33129477844341e-05,5.17036682131513e-05,4.56516674063323e-05,4.27036234183057e-05,7.26300708890903e-05,4.02303974047782e-05,6.47096627517385e-05,4.02071155858017e-05,8.87085066096915e-05,4.5148699199393e-05,0.00144428892235737,0.000601012381298108,0.00034364860448477,0.000185482661632571,0.000397755173764835,0.0002528638247498,0.0310641570249572,0.00525416994456806,0.942274671047926,0.00647710291257573,0.00133200545815271,0.0017177131100238,0.000231299357153603,0.00014704162182268,0.00011880498269079,9.70907277948151e-05,6.6799562603137e-05,5.26979009257925e-05,0.000241683867898246,9.07039461868783e-05,0.000241783467572532,9.36833547646713e-05,0.000214205763768405,8.46116635149881e-05,4.87234447348328e-05,3.70685206112401e-05
3,5.92055328496599e-05,6.5214432835692e-05,2.79152602473687e-05,2.99167730098037e-05,2.54110368160809e-05,2.66709207869386e-05,5.24002829394021e-05,4.86419504671562e-05,5.24691325054505e-05,5.05157618421408e-05,1.99040736390543e-05,1.4115886676373e-05,6.17226005488192e-05,4.07439661917431e-05,0.00134561295635649,0.000336733541705107,0.000177240771677134,8.24755800678812e-05,6.33644808658573e-05,5.13838714121549e-05,4.95331136676214e-05,2.78540495809781e-05,0.00312511909578461,0.000508141257532008,0.0061405338201439,0.00431287355017752,0.944948308169842,0.00763820908370953,0.00252418761147055,0.00227592802380611,0.000453785226454784,0.000146931609691051,0.000100062651810617,9.56934535179704e-05,5.16728631083652e-05,4.65468477374576e-05,0.000214041363051365,0.000101947080163307,0.000227641146011592,6.99194943720177e-05,0.000169072616017729,7.74498367367184e-05
4,1.55327157855822e-05,1.8689033808132e-05,3.5937232048866e-05,3.11003858471847e-05,3.6520583094557e-05,3.90673964877145e-05,1.98028587448107e-05,2.12761465022615e-05,2.12478235255276e-05,1.481371142602e-05,8.32972761486417e-05,5.30612773679602e-05,0.00152777406765381,0.000252349287778821,0.000193196862142031,0.000100649049187498,9.95518910258397e-05,6.42666890384805e-05,2.36607675070388e-05,2.33378293733891e-05,4.82615809929143e-05,3.77993837753717e-05,0.000237574466488866,0.000205931525981954,0.0117906336672604,0.000784520828552322,0.00510536269575823,0.00263324977869398,0.940874025225639,0.00609027646432547,0.00364094694486994,0.00368995972682302,0.00042058706003445,0.000169985972477651,4.82674649333603e-05,2.6761604205517e-05,4.63149506231275e-05,2.53290551024091e-05,0.000191280526905757,6.99213689217146e-05,7.34750956326025e-05,2.65895327603651e-05
5,2.80608143690131e-05,3.00178431087866e-05,1.95387609238651e-05,2.44211597327698e-05,2.16055299340212e-05,2.1090890973622e-05,1.78287451007009e-05,1.50421899532486e-05,0.000103239904660768,7.696741212788e-05,0.00150092113472056,0.0002900013340063,0.000110541286176158,4.53543378104595e-05,4.31451809390637e-05,4.19497598655084e-05,2.17441468777224e-05,2.00135031418123e-05,1.35881791862857e-05,9.61256157462022e-06,8.89110998514298e-06,9.7009859082157e-06,0.000182173276243702,8.44341186740467e-05,0.000501717293445836,0.000238238588826063,0.000336493576128305,0.000264722302112726,0.00890152830106672,0.00396281329339756,0.93732388317585,0.00792901551398746,0.00386809265819466,0.00372791399125197,0.00025746510573299,8.99098813959592e-05,6.7037605930409e-05,6.91684482574277e-05,2.98927906214885e-05,2.2862981829641e-05,0.000205179899694485,9.7806005336938e-05
6,2.7382029202272e-05,2.20040435372636e-05,1.70213752994641e-05,1.11676894481826e-05,2.62912545982985e-05,2.19172576272137e-05,7.39633218387326e-05,5.05740100878824e-05,0.00128802026301855,0.000170879611242546,0.000176232450030511,6.43094875995566e-05,1.71583179415791e-05,1.58005160170305e-05,0.000124559616551778,4.59066240698406e-05,4.21624342834548e-05,3.82789060602032e-05,0.000123974494954382,5.70079398744142e-05,4.42261330420024e-05,1.96329412605917e-05,0.000107582163067832,0.000100631923538894,0.00225767336087301,0.000406151264046966,0.0106838810024783,0.00268576300394283,0.000257957159433886,0.000248699548602879,0.0110925051994855,0.00516315657741925,0.940807193517685,0.0102705362024792,0.00603290736398776,0.00523487791688335,0.000534846740265493,0.000209516540627658,0.000126468246975264,8.82777621404397e-05,2.89280850687135e-05,3.31438358548479e-05
7,2.12489358171197e-05,2.45680068414388e-05,2.27819350300251e-05,2.01033152851472e-05,4.59945181319199e-05,2.38576566667914e-05,0.00127667802371434,0.000181003420193302,0.000148784188809259,6.99957026802885e-05,1.76629945940476e-05,8.6309406676161e-06,5.73336415641279e-05,3.54944707264981e-05,2.92498204714775e-05,2.27392741243756e-05,2.04810798152266e-05,2.01660460951874e-05,6.71366896085601e-05,2.93612075916599e-05,1.85932053220483e-05,1.64143912003905e-05,1.30584249902199e-05,1.24188916272504e-05,0.000111456027980239,8.14713649363257e-05,9.06716951476483e-05,8.15960437173611e-05,0.000298461674901773,0.000164016592372472,0.00041678695720293,0.000277387148574699,0.0146509835903998,0.00680361530315719,0.936305109411478,0.0135971115366124,0.00783658817454125,0.00615306179639635,0.000229645057970629,9.87787952578858e-05,0.000207845203931356,0.000122500304331181
8,2.47893448346304e-05,2.18289034969136e-05,8.5233522213457e-05,5.81871495514193e-05,0.0014412240270758,0.00018491611825603,9.81635375865153e-05,4.28685057307638e-05,1.0622814222927e-05,9.05795650636296e-06,2.37012206616427e-05,2.13816752602662e-05,0.000103512381429027,5.24009235203752e-05,1.14001091802152e-05,8.15206042805106e-06,2.73066568006186e-05,2.36684655047279e-05,1.64783314549055e-05,1.29930742692186e-05,2.28062301630416e-05,1.16475829312853e-05,5.23418657394359e-05,2.60839111432374e-05,0.000457492649729829,9.12717530738505e-05,0.000153310963469266,7.4606653278519e-05,0.0124677162384614,0.00108021669169058,0.000443655490016681,0.000242356097406455,0.000501340285154583,0.000315275778239775,0.0151982576935552,0.00766350608571523,0.927796084433794,0.015404976974198,0.00901465499555343,0.007489813410148,0.000483152320157387,0.000224465267679226
9,6.51921317285087e-05,3.1371773365174e-05,0.00140334254683694,0.000186850634134254,6.90684915980455e-05,2.72589366348981e-05,6.9470488170964e-06,7.60329304609282e-06,1.19369225188848e-05,1.23848224314888e-05,2.0836450232764e-05,1.37195129976074e-05,2.31598101407826e-05,2.03279759502348e-05,1.29261476189413e-05,1.41958843314739e-05,1.8572519913107e-05,1.73715726240184e-05,1.27986458364759e-05,7.23405242606492e-06,7.81443514741298e-06,8.76466746214558e-06,4.43598838160142e-05,3.23605078023661e-05,1.67341223331618e-05,2.13004098745171e-05,0.00143003377161222,0.000135288387643948,0.000247465735355945,0.000184086632259483,0.000843303228975856,0.000254476072250035,0.00030813117928119,0.000166900783223205,0.000572100292629329,0.000409946398202808,0.0197539467772003,0.00932993640227627,0.927446398884058,0.0180567513604301,0.0114917068895011,0.00869508555226012
